dnaA	Rv0001
Rv0811c	Rv0811c
pabC	Rv0812
Rv0813c	Rv0813c
Rv0814c	Rv0814c
cysA2	Rv0815c
thiX	Rv0816c
Rv0817c	Rv0817c
Rv0818	Rv0818
mshD	Rv0819
phoT	Rv0820
phoY2	Rv0821c
Rv0822c	Rv0822c
Rv0823c	Rv0823c
desA1	Rv0824c
ASdes	RVnc0002
Rv0825c	Rv0825c
Rv0826	Rv0826
kmtR	Rv0827c
Rv0828c	Rv0828c
Rv0830	Rv0830
Rv0831c	Rv0831c
lysT	Rvnt10
gluT	Rvnt11
aspT	Rvnt12
pheU	Rvnt13
PE_PGRS12	Rv0832
PE_PGRS13	Rv0833
PE_PGRS14	Rv0834c
lpqQ	Rv0835
Rv0836c	Rv0836c
Rv0837c	Rv0837c
lpqR	Rv0838
Rv0839	Rv0839
pip	Rv0840c
Rv0841	Rv0841
Rv0842	Rv0842
Rv0843	Rv0843
narL	Rv0844c
Rv0845	Rv0845
Rv0846c	Rv0846c
lpqS	Rv0847
cysK2	Rv0848
Rv0849	Rv0849
Rv0851c	Rv0851c
Rv0852	Rv0852
pdc	Rv0853c
Rv0854	Rv0854
far	Rv0855
Rv0856	Rv0856
Rv0857	Rv0857
dapC	Rv0858c
Rv0859	Rv0859
fadB	Rv0860
ercc3	Rv0861c
Rv0862c	Rv0862c
Rv0863	Rv0863
moaC2	Rv0864
mog	Rv0865
moaE2	Rv0866
rpfA	Rv0867c
moaD2	Rv0868c
moaA2	Rv0869c
Rv0870c	Rv0870c
cspB	Rv0871
PE_PGRS15	Rv0872c
fadE10	Rv0873
Rv0874c	Rv0874c
Rv0875c	Rv0875c
Rv0876c	Rv0876c
Rv0877	Rv0877
PPE13	Rv0878c
Rv0879c	Rv0879c
Rv0880	Rv0880
Rv0881	Rv0881
Rv0882	Rv0882
Rv0883c	Rv0883c
serC	Rv0884c
Rv0885	Rv0885
fprB	Rv0886
Rv0887c	Rv0887c
Rv0888	Rv0888
citA	Rv0889c
Rv0890c	Rv0890c
Rv0891c	Rv0891c
Rv0892	Rv0892
Rv0893c	Rv0893c
Rv0894	Rv0894
Rv0895	Rv0895
gltA2	Rv0896
Rv0897c	Rv0897c
Rv0898c	Rv0898c
arfA	Rv0899
arfB	Rv0900
arfC	Rv0901
prrB	Rv0902c
prrA	Rv0903c
accD3	Rv0904c
echA6	Rv0905
Rv0906	Rv0906
Rv0907	Rv0907
ctpE	Rv0908
Rv0909	Rv0909
Rv0910	Rv0910
Rv0911	Rv0911
Rv0912	Rv0912
Rv0913c	Rv0913c
Rv0914c	Rv0914c
PPE14	Rv0915c
PE7	Rv0916c
betP	Rv0917
Rv0918	Rv0918
Rv0919	Rv0919
argT	Rvnt14
Rv0920c	Rv0920c
Rv0921	Rv0921
Rv0922	Rv0922
Rv0923c	Rv0923c
mntH	Rv0924c
Rv0925c	Rv0925c
Rv0926c	Rv0926c
Rv0927c	Rv0927c
pstS3	Rv0928
pstC2	Rv0929
pstA1	Rv0930
pknD	Rv0931c
pstS2	Rv0932c
pstB	Rv0933
pstS1	Rv0934
pstC1	Rv0935
pstA2	Rv0936
mku	Rv0937c
ligD	Rv0938
Rv0939	Rv0939
Rv0940c	Rv0940c
Rv0941c	Rv0941c
Rv0942	Rv0942
Rv0943c	Rv0943c
Rv0944	Rv0944
Rv0945	Rv0945
pgi	Rv0946c
Rv0947c	pseudogene=unknown
Rv0948c	Rv0948c
uvrD1	Rv0949
Rv0950c	Rv0950c
sucC	Rv0951
sucD	Rv0952
Rv0953c	Rv0953c
Rv0954	Rv0954
Rv0955	Rv0955
purN	Rv0956
purH	Rv0957
Rv0958	Rv0958
Rv0959	Rv0959
vapB9	Rv0959A
vapC9	Rv0960
Rv0961	Rv0961
lprP	Rv0962c
Rv0963c	Rv0963c
Rv0964c	Rv0964c
Rv0965c	Rv0965c
Rv0966c	Rv0966c
csoR	Rv0967
Rv0968	Rv0968
ctpV	Rv0969
Rv0970	Rv0970
echA7	Rv0971c
fadE12	Rv0972c
accA2	Rv0973c
accD2	Rv0974c
fadE13	Rv0975c
Rv0976c	Rv0976c
PE_PGRS16	Rv0977
PE_PGRS17	Rv0978c
Rv0979c	Rv0979c
rpmF	Rv0979A
PE_PGRS18	Rv0980c
mprA	Rv0981
mprB	Rv0982
pepD	Rv0983
moaB2	Rv0984
mscL	Rv0985c
Rv0986	Rv0986
Rv0987	Rv0987
Rv0988	Rv0988
grcC2	Rv0989c
Rv0990c	Rv0990c
Rv0991c	Rv0991c
Rv0992c	Rv0992c
galU	Rv0993
moeA1	Rv0994
rimJ	Rv0995
Rv0996	Rv0996
alaV	Rvnt15
Rv0997a	Rv0997a
Rv0997	Rv0997
Rv0998	Rv0998
Rv0999	Rv0999
Rv1000c	Rv1000c
arcA	Rv1001
Rv1002c	Rv1002c
Rv1003	Rv1003
Rv1004c	Rv1004c
Rv1005c	Rv1005c
Rv1006	Rv1006
metS	Rv1007c
tatD	Rv1008
rpfB	Rv1009
ksgA	Rv1010
ispE	Rv1011
Rv1012	Rv1012
pks16	Rv1013
pth	Rv1014c
rplY	Rv1015c
lpqT	Rv1016c
prsA	Rv1017c
glmU	Rv1018c
glnT	Rvnt16
Rv1019	Rv1019
mfd	Rv1020
Rv1021	Rv1021
lpqU	Rv1022
eno	Rv1023
Rv1024	Rv1024
Rv1025	Rv1025
Rv1026	Rv1026
kdpE	Rv1027c
kdpD	Rv1028c
kdpF	Rv1028A
kdpA	Rv1029
kdpB	Rv1030
kdpC	Rv1031
trcS	Rv1032c
trcR	Rv1033c
esxI	Rv1037c
esxJ	Rv1038c
PPE15	Rv1039c
PE8	Rv1040c
Rv1041c	Rv1041c
Rv1042c	Rv1042c
Rv1043c	Rv1043c
Rv1044	Rv1044
Rv1045	Rv1045
Rv1047	Rv1047
Rv1048c	Rv1048c
Rv1049	Rv1049
Rv1050	Rv1050
Rv1051c	Rv1051c
Rv1052	Rv1052
leuX	Rvnt17
Rv1056	Rv1056
Rv1057	Rv1057
fadD14	Rv1058
Rv1059	Rv1059
Rv1060	Rv1060
Rv1061	Rv1061
Rv1062	Rv1062
Rv1063c	Rv1063c
lpqV	Rv1064c
Rv1065	Rv1065
Rv1066	Rv1066
PE_PGRS19	Rv1067c
PE_PGRS20	Rv1068c
Rv1069c	Rv1069c
echA8	Rv1070c
echA9	Rv1071c
Rv1072	Rv1072
Rv1073	Rv1073
fadA3	Rv1074c
Rv1075c	Rv1075c
lipU	Rv1076
cbs	Rv1077
Rv1078	Rv1078
metB	Rv1079
greA	Rv1080c
Rv1081c	Rv1081c
mca	Rv1082
Rv1083	Rv1083
Rv1084	Rv1084
Rv1085c	Rv1085c
Rv1086	Rv1086
PE_PGRS21	Rv1087
PE9	Rv1088
Rv1088a	Rv1088a
PE_PGRS22	Rv1091
coaA	Rv1092c
MTS0858	RVnc0034
glyA1	Rv1093
desA2	Rv1094
phoH2	Rv1095
Rv1096	Rv1096
Rv1097c	Rv1097c
fum	Rv1098c
glpX	Rv1099c
Rv1100	Rv1100
Rv1101c	Rv1101c
mazF3	Rv1102c
mazE3	Rv1103c
Rv1106c	Rv1106c
xseB	Rv1107c
xseA	Rv1108c
Rv1109c	Rv1109c
lytB2	Rv1110
Rv1111c	Rv1111c
Rv1112	Rv1112
vapB32	Rv1113
vapC32	Rv1114
Rv1115	Rv1115
Rv1116	Rv1116
Rv1117	Rv1117
Rv1118c	Rv1118c
Rv1119c	Rv1119c
Rv1120c	Rv1120c
zwf1	Rv1121
gnd2	Rv1122
bpoB	Rv1123c
ephC	Rv1124
Rv1125	Rv1125
Rv1126c	Rv1126c
ppdK	Rv1127c
Rv1128c	Rv1128c
Rv1129c	Rv1129c
prpD	Rv1130
prpC	Rv1131
Rv1132	Rv1132
metE	Rv1133c
Rv1134	Rv1134
PPE16	Rv1135c
Rv1138a	Rv1138a
Rv1138c	Rv1138c
Rv1139c	Rv1139c
Rv1140	Rv1140
