dnaA	Rv0001
idsA1	Rv3398c
Rv3399	Rv3399
Rv3400	Rv3400
Rv3401	Rv3401
Rv3402c	Rv3402c
Rv3403c	Rv3403c
Rv3404c	Rv3404c
Rv3405c	Rv3405c
Rv3406	Rv3406
vapB47	Rv3407
vapC47	Rv3408
choD	Rv3409c
guaB3	Rv3410c
guaB2	Rv3411c
Rv3412	Rv3412
Rv3413c	Rv3413c
sigD	Rv3414c
Rv3415c	Rv3415c
whiB3	Rv3416
groEL1	Rv3417c
groES	Rv3418c
gcp	Rv3419c
rimI	Rv3420c
Rv3421c	Rv3421c
Rv3422c	Rv3422c
alr	Rv3423c
Rv3424c	Rv3424c
PPE57	Rv3425
PPE58	Rv3426
Rv3427c	Rv3427c
Rv3428c	Rv3428c
PPE59	Rv3429
Rv3430c	Rv3430c
Rv3430a	Rv3430a
gadB	Rv3432c
Rv3433c	Rv3433c
Rv3434c	Rv3434c
Rv3435c	Rv3435c
glmS	Rv3436c
Rv3437	Rv3437
Rv3438	Rv3438
Rv3439c	Rv3439c
Rv3440c	Rv3440c
mrsA	Rv3441c
rpsI	Rv3442c
rplM	Rv3443c
esxT	Rv3444c
esxU	Rv3445c
Rv3446c	Rv3446c
eccC4	Rv3447c
eccD4	Rv3448
mycP4	Rv3449
eccB4	Rv3450c
cut3	Rv3451
cut4	Rv3452
Rv3453	pseudogene=unknown
truA	Rv3455c
rplQ	Rv3456c
rpoA	Rv3457c
rpsD	Rv3458c
rpsK	Rv3459c
rpsM	Rv3460c
rpmJ	Rv3461c
infA	Rv3462c
Rv3463	Rv3463
rmlB	Rv3464
rmlC	Rv3465
Rv3466	Rv3466
Rv3467	Rv3467
rmlB3	Rv3468c
mhpE	Rv3469c
ilvB2	Rv3470c
Rv3471c	Rv3471c
Rv3472	Rv3472
bpoA	Rv3473c
kgtP	Rv3476c
PE31	Rv3477
PPE60	Rv3478
Rv3479	Rv3479
Rv3480c	Rv3480c
Rv3481c	Rv3481c
Rv3482c	Rv3482c
Rv3483c	Rv3483c
Rv3484	Rv3484
Rv3485c	Rv3485c
Rv3486	Rv3486
lipF	Rv3487c
Rv3488	Rv3488
Rv3489	Rv3489
otsA	Rv3490
Rv3491	Rv3491
Rv3492c	Rv3492c
Rv3493c	Rv3493c
mce4F	Rv3494c
lprN	Rv3495c
mce4D	Rv3496c
mce4C	Rv3497c
mce4B	Rv3498c
mce4A	Rv3499c
yrbE4B	Rv3500c
yrbE4A	Rv3501c
hsd4A	Rv3502c
fdxD	Rv3503c
fadE26	Rv3504
fadE27	Rv3505
fadD17	Rv3506
PE_PGRS53	Rv3507
PE_PGRS54	Rv3508
ilvX	Rv3509c
Rv3510c	Rv3510c
PE_PGRS55	Rv3511
PE_PGRS56	Rv3512
fadD18	Rv3513c
PE_PGRS57	Rv3514
fadD19	Rv3515c
echA19	Rv3516
Rv3517	Rv3517
cyp142	Rv3518c
Rv3519	Rv3519
Rv3520c	Rv3520c
Rv3521	Rv3521
ltp4	Rv3522
ltp3	Rv3523
Rv3524	Rv3524
Rv3525c	Rv3525c
kshA	Rv3526
Rv3527	Rv3527
Rv3528c	Rv3528c
Rv3529c	Rv3529c
Rv3530c	Rv3530c
Rv3531c	Rv3531c
PPE61	Rv3532
PPE62	Rv3533c
hsaF	Rv3534c
hsaG	Rv3535c
hsaE	Rv3536c
kstD	Rv3537
hsd4B	Rv3538
PPE63	Rv3539
ltp2	Rv3540c
Rv3541c	Rv3541c
Rv3542c	Rv3542c
fadE29	Rv3543c
fadE28	Rv3544c
cyp125	Rv3545c
fadA5	Rv3546
ddn	Rv3547
Rv3548c	Rv3548c
Rv3549c	Rv3549c
echA20	Rv3550
Rv3551	Rv3551
Rv3552	Rv3552
Rv3553	Rv3553
fdxB	Rv3554
Rv3555c	Rv3555c
fadA6	Rv3556c
Rv3557c	Rv3557c
PPE64	Rv3558
Rv3559c	Rv3559c
fadE30	Rv3560c
fadD3	Rv3561
fadE31	Rv3562
fadE32	Rv3563
fadE33	Rv3564
aspB	Rv3565
nat	Rv3566c
Rv3566A	Rv3566A
hsaB	Rv3567c
hsaC	Rv3568c
hsaD	Rv3569c
hsaA	Rv3570c
kshB	Rv3571
Rv3572	Rv3572
fadE34	Rv3573c
kstR	Rv3574
Rv3575c	Rv3575c
lppH	Rv3576
Rv3577	Rv3577
arsB2	Rv3578
Rv3579c	Rv3579c
cysS1	Rv3580c
ispF	Rv3581c
ispD	Rv3582c
Rv3583c	Rv3583c
lpqE	Rv3584
radA	Rv3585
Rv3586	Rv3586
Rv3587c	Rv3587c
canB	Rv3588c
mutY	Rv3589
PE_PGRS58	Rv3590c
Rv3591c	Rv3591c
TB11.2	Rv3592
lpqF	Rv3593
Rv3594	Rv3594
PE_PGRS59	Rv3595c
clpC1	Rv3596c
lsr2	Rv3597c
lysS	Rv3598c
Rv3600c	Rv3600c
panD	Rv3601c
panC	Rv3602c
Rv3603c	Rv3603c
Rv3604c	Rv3604c
Rv3605c	Rv3605c
folK	Rv3606c
folB	Rv3607c
folP1	Rv3608c
folE	Rv3609c
ftsH	Rv3610c
Rv3612c	Rv3612c
Rv3613c	Rv3613c
espD	Rv3614c
espC	Rv3615c
espA	Rv3616c
ephA	Rv3617
Rv3618	Rv3618
esxV	Rv3619c
esxW	Rv3620c
PPE65	Rv3621c
PE32	Rv3622c
lpqG	Rv3623
hpt	Rv3624c
mesJ	Rv3625c
Rv3626c	Rv3626c
Rv3627c	Rv3627c
ppa	Rv3628
Rv3629c	Rv3629c
Rv3630	Rv3630
Rv3631	Rv3631
Rv3632	Rv3632
Rv3633	Rv3633
galE1	Rv3634c
Rv3635	Rv3635
Rv3636	pseudogene=unknown
Rv3638	Rv3638
Rv3639c	Rv3639c
Rv3640c	Rv3640c
fic	Rv3641c
Rv3642c	Rv3642c
Rv3643	Rv3643
thrU	Rvnt39
Rv3644c	Rv3644c
Rv3645	Rv3645
topA	Rv3646c
Rv3647c	Rv3647c
cspA	Rv3648c
Rv3649	Rv3649
PE33	Rv3650
Rv3651	Rv3651
PE_PGRS60	Rv3652
PE_PGRS61	Rv3653
Rv3654c	Rv3654c
Rv3655c	Rv3655c
Rv3656c	Rv3656c
Rv3657c	Rv3657c
Rv3658c	Rv3658c
trbB	Rv3659c
Rv3660c	Rv3660c
B11	RVnc0004
Rv3661	Rv3661
MTS2823	RVnc0036a
Rv3662c	Rv3662c
dppD	Rv3663c
dppC	Rv3664c
dppB	Rv3665c
dppA	Rv3666c
acs	Rv3667
Rv3668c	Rv3668c
Rv3669	Rv3669
ephE	Rv3670
Rv3671c	Rv3671c
Rv3672c	Rv3672c
Rv3673c	Rv3673c
nth	Rv3674c
Rv3675	Rv3675
crp	Rv3676
Rv3677c	Rv3677c
Rv3678c	Rv3678c
Rv3678A	Rv3678A
Rv3679	Rv3679
Rv3680	Rv3680
whiB4	Rv3681c
ponA2	Rv3682
Rv3683	Rv3683
Rv3684	Rv3684
proY	Rvnt40
cyp137	Rv3685c
Rv3686c	Rv3686c
rsfB	Rv3687c
Rv3688c	Rv3688c
Rv3689	Rv3689
Rv3690	Rv3690
Rv3691	Rv3691
moxR2	Rv3692
Rv3693	Rv3693
Rv3694c	Rv3694c
Rv3695	Rv3695
glpK	Rv3696c
vapC48	Rv3697c
vapB48	Rv3697A
Rv3698	Rv3698
Rv3699	Rv3699
egtE	Rv3700c
egtD	Rv3701c
egtC	Rv3702c
etgB	Rv3703c
gshA	Rv3704c
Rv3705c	Rv3705c
Rv3705A	Rv3705A
Rv3706c	Rv3706c
Rv3707c	Rv3707c
asd	Rv3708c
ask	Rv3709c
leuA	Rv3710
dnaQ	Rv3711c
Rv3712	Rv3712
cobQ2	Rv3713
Rv3714c	Rv3714c
recR	Rv3715c
Rv3716c	Rv3716c
Rv3717	Rv3717
Rv3718c	Rv3718c
Rv3719	Rv3719
Rv3720	Rv3720
dnaZX	Rv3721c
Rv3722c	Rv3722c
C8	RVnc0006
serV	Rvnt41
Rv3723	Rv3723
Rv3725	Rv3725
Rv3726	Rv3726
Rv3727	Rv3727
Rv3728	Rv3728
Rv3729	Rv3729
Rv3730c	Rv3730c
ligC	Rv3731
Rv3732	Rv3732
Rv3733c	Rv3733c
tgs2	Rv3734c
Rv3735	Rv3735
Rv3736	Rv3736
Rv3737	Rv3737
PPE66	Rv3738c
PPE67	Rv3739c
Rv3740c	Rv3740c
Rv3741c	Rv3741c
Rv3742c	Rv3742c
ctpJ	Rv3743c
nmtR	Rv3744
Rv3745c	Rv3745c
PE34	Rv3746c
Rv3747	Rv3747
Rv3748	Rv3748
Rv3749c	Rv3749c
Rv3750c	Rv3750c
serX	Rvnt42
Rv3752c	Rv3752c
Rv3753c	Rv3753c
tyrA	Rv3754
Rv3755c	Rv3755c
proZ	Rv3756c
proW	Rv3757c
proV	Rv3758c
proX	Rv3759c
Rv3760	Rv3760
fadE36	Rv3761c
Rv3762c	Rv3762c
lpqH	Rv3763
tcrY	Rv3764c
tcrX	Rv3765c
Rv3766	Rv3766
Rv3767c	Rv3767c
Rv3768	Rv3768
Rv3769	Rv3769
Rv3770c	Rv3770c
Rv3771c	Rv3771c
argU	Rvnt43
serT	Rvnt44
hisC2	Rv3772
Rv3773c	Rv3773c
echA21	Rv3774
lipE	Rv3775
Rv3776	Rv3776
serU	Rvnt45
Rv3777	Rv3777
Rv3778c	Rv3778c
Rv3779	Rv3779
Rv3780	Rv3780
rfbE	Rv3781
glfT1	Rv3782
rfbD	Rv3783
epiB	Rv3784
Rv3785	Rv3785
Rv3786c	Rv3786c
Rv3787c	Rv3787c
Rv3788	Rv3788
Rv3789	Rv3789
dprE1	Rv3790
dprE2	Rv3791
aftA	Rv3792
embC	Rv3793
embA	Rv3794
embB	Rv3795
atsH	Rv3796
fadE35	Rv3797
Rv3798	Rv3798
accD4	Rv3799c
pks13	Rv3800c
fadD32	Rv3801c
clp6	Rv3802c
fbpD	Rv3803c
fbpA	Rv3804c
aftB	Rv3805c
ubiA	Rv3806c
Rv3807c	Rv3807c
glfT2	Rv3808c
glf	Rv3809c
pirG	Rv3810
csp	Rv3811
PE_PGRS62	Rv3812
Rv3813c	Rv3813c
Rv3814c	Rv3814c
Rv3815c	Rv3815c
Rv3816c	Rv3816c
Rv3817	Rv3817
Rv3818	Rv3818
Rv3819	Rv3819
papA2	Rv3820c
Rv3821	Rv3821
Rv3822	Rv3822
mmpL8	Rv3823c
papA1	Rv3824c
pks2	Rv3825c
fadD23	Rv3826
Rv3827c	Rv3827c
Rv3828c	Rv3828c
Rv3829c	Rv3829c
Rv3830c	Rv3830c
Rv3831	Rv3831
Rv3832c	Rv3832c
Rv3833	Rv3833
serS	Rv3834c
Rv3835	Rv3835
Rv3836	Rv3836
Rv3837c	Rv3837c
pheA	Rv3838c
Rv3839	Rv3839
Rv3840	Rv3840
bfrB	Rv3841
glpQ1	Rv3842c
Rv3843c	Rv3843c
MTS2975	RVnc0040
Rv3844	Rv3844
Rv3845	Rv3845
sodA	Rv3846
Rv3847	Rv3847
Rv3848	Rv3848
espR	Rv3849
Rv3850	Rv3850
Rv3851	Rv3851
hns	Rv3852
rraA	Rv3853
ethA	Rv3854c
ethR	Rv3855
Rv3856c	Rv3856c
Rv3857c	Rv3857c
gltD	Rv3858c
gltB	Rv3859c
Rv3860	Rv3860
Rv3861	Rv3861
whiB6	Rv3862c
Rv3863	Rv3863
espE	Rv3864
espF	Rv3865
espG1	Rv3866
espH	Rv3867
eccA1	Rv3868
eccB1	Rv3869
eccCa1	Rv3870
eccCb1	Rv3871
PE35	Rv3872
PPE68	Rv3873
esxB	Rv3874
esxA	Rv3875
espI	Rv3876
eccD1	Rv3877
espJ	Rv3878
espK	Rv3879c
espL	Rv3880c
espB	Rv3881c
eccE1	Rv3882c
mycP1	Rv3883c
eccA2	Rv3884c
eccE2	Rv3885c
mycP2	Rv3886c
eccD2	Rv3887c
Rv3888c	Rv3888c
espG2	Rv3889c
esxC	Rv3890c
esxD	Rv3891c
PPE69	Rv3892c
PE36	Rv3893c
eccC2	Rv3894c
eccB2	Rv3895c
Rv3896c	Rv3896c
Rv3897c	Rv3897c
Rv3898c	Rv3898c
Rv3899c	Rv3899c
Rv3900c	Rv3900c
Rv3901c	Rv3901c
Rv3902c	Rv3902c
Rv3903c	Rv3903c
esxE	Rv3904c
esxF	Rv3905c
Rv3906c	Rv3906c
pcnA	Rv3907c
mutT4	Rv3908
Rv3909	Rv3909
Rv3910	Rv3910
sigM	Rv3911
Rv3912	Rv3912
trxB2	Rv3913
trxC	Rv3914
cwlM	Rv3915
Rv3916c	Rv3916c
parB	Rv3917c
parA	Rv3918c
gid	Rv3919c
Rv3920c	Rv3920c
Rv3921c	Rv3921c
Rv3922c	Rv3922c
rnpA	Rv3923c
rpmH	Rv3924c
