Accession	Lineage
ERS181550	lineage4
ERS181489	lineage2
SRS494392	lineage4
ERS124795	lineage4
ERS096505	lineage4
SRS490584	lineage4
SRS490587	lineage4
SRS419309	lineage4
SRS490583	lineage4
ERS066705	lineage2
ERS066704	lineage2
ERS066707	lineage2
ERS066706	lineage2
ERS066701	lineage4
SRS415234	lineage4
ERS066703	lineage2
ERS066702	lineage2
ERS096500	lineage2
SRS454482	lineage2
ERS066709	lineage2
ERS066708	lineage2
ERS096501	lineage2
ERS053622	lineage2
ERS053623	lineage4
ERS053620	lineage2
ERS053621	lineage2
ERS053626	lineage4
ERS053627	lineage2
ERS053624	lineage4
ERS053625	lineage2
SRS494370	lineage2
ERS053628	lineage4
ERS053629	lineage4
ERS094225	lineage2
ERS181440	lineage2
ERS096351	lineage2
ERS096350	lineage2
ERS096353	lineage2
ERS096352	lineage2
ERS096355	lineage2
ERS096354	lineage4
ERS096357	lineage2
ERS181319	lineage2
ERS096359	lineage2
ERS096358	lineage4
ERS181314	lineage2
ERS181315	lineage4
ERS181312	lineage2
ERS181313	lineage2
ERS181310	lineage4
ERS096497	lineage2
ERS050924	lineage2
ERS050925	lineage2
ERS050926	lineage2
ERS050927	lineage2
ERS094234	lineage2
ERS053668	lineage2
ERS094236	lineage2
ERS050923	lineage2
ERS094238	lineage4
ERS094239	lineage2
ERS096495	lineage2
ERS050928	lineage4
ERS050929	lineage4
SRS415235	lineage2
ERS053666	lineage2
SRS415237	lineage4
SRS415236	lineage2
SRS415231	lineage4
SRS415230	lineage4
SRS415233	lineage4
ERS053667	lineage4
ERS181378	lineage2
SRS415239	lineage4
ERS053664	lineage2
ERS181524	lineage2
ERS181486	lineage4
ERS181487	lineage4
ERS181484	lineage2
ERS053665	lineage2
ERS181482	lineage2
ERS181483	lineage4
ERS053718	lineage4
ERS053719	lineage2
ERS053716	lineage2
ERS053717	lineage4
ERS053714	lineage2
ERS053715	lineage2
ERS053712	lineage4
ERS053713	lineage2
ERS053710	lineage4
ERS053711	lineage4
ERS053657	lineage2
ERS053656	lineage4
ERS096506	lineage2
ERS053654	lineage2
ERS053653	lineage2
ERS053652	lineage2
ERS053651	lineage4
ERS053650	lineage2
ERS181379	lineage4
ERS181488	lineage2
ERS053661	lineage4
ERS096508	lineage2
ERS096509	lineage2
ERS053659	lineage4
ERS053658	lineage2
SRS415249	lineage4
ERS181559	lineage2
SRS415193	lineage4
ERS094128	lineage2
ERS094129	lineage2
ERS181470	lineage2
ERS094124	lineage4
ERS094125	lineage4
ERS094126	lineage2
ERS094127	lineage4
ERS094120	lineage2
ERS094121	lineage4
ERS094122	lineage4
ERS094123	lineage4
ERS181411	lineage2
ERS181410	lineage4
ERS181413	lineage2
ERS181412	lineage2
ERS066679	lineage2
ERS066678	lineage2
ERS181417	lineage4
ERS181416	lineage2
ERS066675	lineage2
ERS066674	lineage2
ERS066677	lineage4
ERS066676	lineage2
ERS066671	lineage2
ERS066670	lineage2
ERS066673	lineage2
ERS066672	lineage2
ERS053635	lineage2
ERS094222	lineage2
ERS053634	lineage4
SRS490553	lineage4
ERS181554	lineage2
SRS490550	lineage2
ERS053637	lineage2
ERS181555	lineage2
SRS415168	lineage4
ERS053636	lineage4
ERS181556	lineage2
SRS415161	lineage2
SRS415160	lineage4
SRS415163	lineage4
ERS181557	lineage2
SRS415165	lineage2
SRS415164	lineage2
SRS415167	lineage2
SRS415166	lineage2
ERS096430	lineage4
ERS094221	lineage2
ERS096432	lineage4
ERS096433	lineage2
ERS096434	lineage4
ERS053633	lineage4
ERS096436	lineage2
ERS096437	lineage2
ERS096438	lineage2
ERS096439	lineage2
ERS053632	lineage2
SRS494390	lineage2
ERS181415	lineage4
ERS181414	lineage2
ERS181468	lineage4
ERS181469	lineage2
ERS181419	lineage4
ERS181418	lineage2
ERS094278	lineage4
ERS181421	lineage2
ERS181474	lineage4
ERS096383	lineage2
ERS181466	lineage4
ERS096366	lineage2
ERS096502	lineage4
ERS181460	lineage2
ERS096367	lineage2
ERS094226	lineage4
ERS094276	lineage2
ERS096361	lineage2
SRS494373	lineage4
ERS094277	lineage2
ERS181464	lineage2
ERS181565	lineage2
SRS415246	lineage4
ERS181465	lineage2
ERS050968	lineage2
ERS050969	lineage2
ERS181350	lineage4
ERS181351	lineage1
ERS181356	lineage2
ERS181357	lineage2
ERS181354	lineage2
ERS181355	lineage2
ERS050960	lineage4
ERS050961	lineage2
ERS050962	lineage2
ERS050963	lineage2
ERS050964	lineage2
ERS050965	lineage2
ERS050966	lineage4
ERS181293	lineage4
ERS181292	lineage2
ERS096368	lineage4
SRS415243	lineage4
ERS181291	lineage2
ERS096369	lineage4
ERS181290	lineage2
SRS454492	lineage2
ERS181297	lineage2
SRS454490	lineage4
SRS454491	lineage4
ERS096331	lineage4
ERS181296	lineage4
ERS066626	lineage4
ERS066627	lineage2
ERS066624	lineage4
ERS066625	lineage4
ERS066622	lineage4
ERS066623	lineage2
ERS066620	lineage2
ERS066621	lineage2
ERS053613	lineage2
ERS053612	lineage4
ERS053611	lineage2
ERS053610	lineage2
ERS053617	lineage2
ERS053616	lineage2
ERS066628	lineage4
ERS053614	lineage2
ERS094087	lineage2
SRS415247	lineage4
ERS096388	lineage4
ERS094220	lineage2
ERS096382	lineage2
ERS094227	lineage4
ERS096380	lineage4
ERS096381	lineage4
ERS096386	lineage4
ERS096387	lineage2
ERS094089	lineage4
ERS094088	lineage2
ERS094160	lineage2
ERS094161	lineage4
ERS094162	lineage2
ERS094163	lineage4
ERS094164	lineage2
ERS094165	lineage4
ERS094166	lineage4
ERS094167	lineage4
ERS094168	lineage2
ERS094169	lineage2
ERS094243	lineage2
ERS094224	lineage2
ERS094245	lineage4
ERS094218	lineage2
ERS094247	lineage2
ERS094246	lineage2
ERS181280	lineage4
ERS181281	lineage2
ERS094219	lineage2
ERS181284	lineage2
ERS181285	lineage2
ERS181286	lineage2
ERS181288	lineage4
